X,Y,dX,dY,dZ,Ekine
1.3560059,0.20946908,-1.0599728,-0.6128449,0.7061713,3.3813496
2.0228682,0.18555403,-1.3537611,-0.7369289,0.7982012,3.2112913
0.9413723,0.56321687,-0.50709856,-0.77840483,0.7426249,3.371069
1.4703524,0.06784737,-1.1690323,-0.84556973,0.73994327,2.9826193
-0.13033605,-0.057350636,0.57062465,-0.152149,0.7758359,3.1648328
1.9777765,-0.8702376,-1.487349,-0.6777217,0.7273363,3.2594762
1.1897137,0.2339294,-0.9178485,-0.62748307,0.75151336,2.9549124
-0.04660335,-0.35393202,0.46109116,0.17118064,0.77183527,3.827538
2.449182,-1.2408599,-1.731602,-0.46787852,0.7659646,3.1482067
0.80551255,0.34050292,-0.44077194,-0.44685027,0.7388429,3.4885504
1.1479226,-0.012519717,-0.75128585,-0.70892036,0.7658389,2.6241834
1.0410342,0.5568603,-0.6372513,-0.73644626,0.6816437,3.6267262
1.0336941,0.17199683,-0.7544185,-0.671499,0.7003561,3.1491947
2.1367776,-0.88967276,-1.308305,-0.43107656,0.7825248,3.3583155
1.964822,-1.1293545,-1.1222712,-0.20399794,0.7879969,3.268332
1.4951274,-0.046289444,-1.1851019,-0.78122944,0.75860465,3.1585424
0.27216434,-1.0124075,0.15400475,0.1085352,0.70951647,3.8664744
2.5239174,-0.4472702,-1.588663,-0.5993527,0.8158623,3.3328419
1.7598872,-1.2465637,-1.1630397,-0.27379808,0.7531824,3.0572321
0.4962975,-0.86131406,-0.094531894,-0.17214078,0.755181,2.9802635
0.8702204,-0.023944736,-0.538687,-0.31799334,0.7739419,2.8102946
2.2287092,-0.7386979,-1.6549885,-0.78896064,0.7007051,3.3281639
1.2241625,-0.2635044,-0.9343384,-0.66398835,0.77730757,3.208043
2.6067872,-0.5865288,-1.6932235,-0.66453314,0.8450031,3.0068984
1.1971582,0.15822947,-0.8009944,-0.55301446,0.80954474,3.1528516
0.870811,-0.809621,-0.5477943,-0.14133042,0.75202346,2.847043
1.4152825,-0.7868633,-0.9214505,-0.42323124,0.7333317,3.188808
2.3777537,-1.4444973,-1.3806051,-0.31351715,0.84553385,2.832501
0.40100932,-0.65388584,-0.0661329,0.028994128,0.73264235,3.1180077
1.419863,-0.69901395,-0.9044128,-0.53404826,0.7395033,2.9274876
1.4220421,0.34759122,-0.7502214,-0.4747587,0.78172517,3.1706533
0.115150295,-0.48055685,0.14015704,-0.08441886,0.7372448,3.0933075
1.038487,0.1262759,-0.8204985,-0.59349835,0.7458502,3.2606826
1.009594,-0.119394064,-0.5703823,-0.6960173,0.81445074,3.072348
0.8791917,0.13073516,-0.543478,-0.5436544,0.72544163,3.1124284
0.15466118,-0.7391033,0.1627562,0.09231195,0.722857,3.3151796
2.5138528,-1.6041536,-1.6092736,-0.5224852,0.76995754,3.086768
1.0355756,-0.5846814,-0.7257135,-0.5181855,0.74624264,3.1226327
1.3843579,0.12805021,-1.1383029,-0.6342938,0.7421131,2.9294662
0.99812186,0.8299499,-0.80973303,-0.76179177,0.71084654,2.9265404
1.3869236,-0.2730435,-0.97968274,-0.53154486,0.7091863,3.2880063
1.3406013,0.5383477,-0.90969145,-0.98044723,0.76973855,3.1215246
0.7484198,-0.21329033,-0.36567497,-0.5185956,0.7311225,3.396826
-0.1532644,-0.8361794,0.49919462,0.14852633,0.7369036,3.2011843
2.0125349,-0.46443415,-1.1372917,-0.50003934,0.8109553,3.4225183
0.5379907,0.26964045,-0.11937785,-0.5478686,0.7950127,2.9717593
0.89774376,-0.48699117,-0.618701,-0.2704213,0.73479116,2.8657713
0.5020786,0.370874,-0.07547885,-0.59442866,0.71814054,3.3374257
0.49004743,-1.0216439,-0.059174776,0.102727905,0.7329966,3.404803
1.8636392,-1.107393,-1.2058299,-0.6797811,0.80790967,3.3142684
0.7143396,0.0523026,-0.23860115,-0.73882514,0.8227322,3.275916
2.0539002,-0.43465388,-1.3387504,-0.6287324,0.7584753,3.3779047
0.5485027,0.3342631,-0.340851,-0.43520838,0.739946,2.7671647
3.9232607,-0.8417913,-2.8743823,-1.2928535,0.85155463,3.0967102
0.51612353,0.42311597,-0.04317075,-0.6539656,0.81341594,3.0775394
0.2770085,-0.59965765,-0.024006128,-0.018181235,0.7139881,3.1308322
2.6314502,-1.8359361,-1.6505423,-0.37043464,0.75709856,3.456899
0.67328763,0.9877018,-0.098917305,-0.8416494,0.8161229,3.1363726
1.1086588,-0.40344363,-0.72876,-0.35756898,0.75134444,3.0966601
1.5610425,-0.57327104,-1.1415172,-0.49266666,0.7611028,3.0582702
0.20492934,-0.7284707,0.21863532,-0.08265798,0.72138256,3.452356
0.17262083,-0.64276516,0.1616574,0.0049640387,0.73840386,2.9012089
0.54729074,-0.82212114,-0.21789438,-0.1007468,0.73102313,3.0370514
0.36534414,0.14407992,-0.06601918,-0.3643586,0.7289013,3.310648
1.7156003,-0.13208044,-1.2401953,-0.6782119,0.75365126,3.2054062
1.3827829,-0.057521343,-0.8599532,-0.46831256,0.75157964,3.510983
0.41907966,1.4488856,0.1414268,-0.8526014,0.76758146,3.4621146
3.252713,-1.5067778,-2.147096,-0.75918096,0.7925617,3.6182268
1.634483,-0.11364007,-1.0799205,-0.5711575,0.8047851,3.0773432
1.2901168,0.31022274,-0.95080036,-0.8121121,0.74248946,3.108824
0.82765937,-0.36241078,-0.4367686,-0.1797954,0.72822505,3.303445
0.19720557,-0.32797122,0.09824997,-0.13905603,0.7432861,3.1010232
0.19975744,0.5737481,0.14685151,-0.46432537,0.7462987,2.993672
0.97136796,-0.027286887,-0.6320163,-0.3775539,0.789005,3.0358217
2.675414,-0.75901914,-1.8152355,-0.67924017,0.79025364,3.4438128
0.56101006,1.163208,0.05553806,-0.77972674,0.79431546,3.4546635
2.8107562,-1.1003318,-1.4764004,-0.44864658,0.8528092,3.3637924
1.8651689,-0.91987574,-1.3188553,-0.39774442,0.77319133,2.753633
1.7442615,-0.7780236,-1.291773,-0.48491412,0.7212991,3.0368657
2.7395265,0.20701492,-1.9586289,-1.069704,0.84306145,3.2268448
2.153737,-1.1842166,-1.5358174,-0.6069027,0.758361,2.8370626
-0.6500349,-0.34464025,1.1690242,0.05728042,0.828586,3.1170413
-0.32883254,-0.21040285,0.8343554,-0.04958996,0.759431,3.2489593
0.7881414,-1.0604082,-0.3229919,-0.2379505,0.77285284,3.2122178
0.24568489,0.10765302,0.22758639,-0.4094989,0.8038825,2.7490067
1.2478018,1.2253785,-0.7478193,-0.92947954,0.7299086,3.0279737
0.18436041,0.010762095,0.14218646,-0.30405098,0.7855414,3.158459
2.5345488,-0.008909345,-1.7967565,-0.9014699,0.75853884,3.5676897
0.32401967,-0.60310626,-0.0033272505,-0.077391386,0.703937,3.2733393
0.5458944,-0.43480384,-0.24352354,-0.11389092,0.70919573,3.0206232
0.19876489,-0.8566983,0.22629136,-0.0652865,0.8200021,3.1794753
0.8077947,-0.52603924,-0.40106636,-0.18137461,0.7221831,3.506611
-0.8025809,0.54232305,1.4923759,-0.08717033,0.75973815,3.4424748
1.6420916,0.09038067,-1.2443514,-0.8983128,0.74319756,3.3876448
1.0497298,-0.117828846,-0.5843645,-0.6120671,0.72288394,3.2394915
0.871045,0.89051044,-0.46000063,-0.8217329,0.7206889,3.3648221
1.9559481,-0.73176885,-1.2467093,-0.49097613,0.7768268,3.1923554
1.5004823,0.36015725,-1.1436882,-0.78091305,0.74746823,3.5305443
1.6174518,-0.77566695,-1.1110964,-0.38189358,0.7710436,2.8612208
2.2398348,-0.19954324,-1.471522,-0.7288837,0.79395795,3.415215
1.1320634,-0.92066205,-0.7324688,-0.21515158,0.72262704,3.1418128
0.53626865,-0.818022,-0.17943847,-0.13836521,0.72466063,3.490212
1.5375264,-0.2449882,-1.0773342,-0.48397022,0.7846127,3.1665754
1.9919112,-0.14837033,-1.485988,-0.7942009,0.7645141,3.3327174
1.8459402,-0.90202,-1.3062122,-0.49732313,0.70656705,3.5536838
1.840153,-1.1850488,-1.1886104,-0.5591427,0.82399696,3.3687232
1.3476633,0.028033614,-1.0068512,-0.88375115,0.7710097,2.8725457
2.8445795,-1.7769575,-1.7400879,-0.44429058,0.77364945,3.4330163
1.3302704,0.29851425,-0.91344786,-0.9099236,0.72459805,3.3475907
1.9223754,-0.41496694,-1.2268884,-0.53621036,0.7977226,3.1020455
0.543024,-0.25127435,-0.24516875,-0.12611967,0.7315222,3.260663
0.4218557,-0.1234678,-0.08584976,-0.20277348,0.72956145,3.1453352
1.8378386,0.64444345,-1.4732451,-1.1795053,0.7537379,3.541347
2.1438184,-0.3791473,-1.5607808,-0.87265533,0.78882027,2.7471502
-0.14349413,-0.86392856,0.72319067,0.0526388,0.8216865,2.9726288
0.7316466,-0.78833604,-0.34812325,-0.2242706,0.7519803,3.193488
0.33138618,0.51862526,0.008306384,-0.56159997,0.76587135,2.79037
0.9428043,-0.032919407,-0.5366079,-0.565942,0.70735455,3.504084
-0.51542944,-0.11770868,0.9817288,0.08474821,0.7744609,3.381619
0.23664913,-0.34172964,0.091836095,0.035994157,0.7826979,3.2650146
1.010354,-0.21129787,-0.71689713,-0.5794464,0.7348926,3.0143423
-0.05866515,-0.44337106,0.19783789,-0.016636714,0.80168664,2.944642
0.3274572,-0.57589626,-0.08006257,-0.053426616,0.72175014,3.1583154
2.3889313,-0.8574481,-1.4558394,-0.4882221,0.8648833,3.301723
1.1749967,-1.0034604,-0.6148787,-0.11759251,0.7295059,3.2635071
1.150176,-1.2144542,-0.6005461,-0.17330644,0.7466882,2.892866
2.9409375,-1.4343698,-2.014172,-0.54359525,0.87518245,3.5716946
0.57445693,0.22624314,-0.1406259,-0.5559027,0.7522913,3.176166
1.9094074,0.5736468,-1.2524589,-0.87257886,0.78975487,3.0663815
1.4212425,0.14497137,-1.1231319,-0.77730846,0.78343374,3.4501305
0.32179332,0.6259902,0.09636849,-0.43215796,0.73978555,3.1025546
0.11530155,-0.5412094,0.20738864,0.16154993,0.7388407,3.559578
1.0144705,-1.2619015,-0.2730072,-0.32804114,0.83041,3.3323958
0.9237031,-0.08944124,-0.70394075,-0.4512648,0.7315934,3.3042831
0.98707736,-0.7203696,-0.36915424,-0.086923406,0.7804434,3.3964176
0.92819196,-0.921476,-0.48145878,-0.11112564,0.70865595,3.1609006
0.3453359,-0.076072335,-0.051528096,-0.3354096,0.74371207,2.990374
