energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.114, ,57.433033423064,2.2414854347698423,X,L,72,105,Hf, ,1315.4502,0.0008,23/2+,1.09, ,5,s,1.09,0.05,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
9.114, ,23.19620154488,1.142618254575526,X,L,72,105,Hf, ,2740.02,0.15,37/2-,51.4, ,5,m,3084.0,30.0,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
54.608, ,42.70349124682504,0.4520964705105441,X,KA2,72,105,Hf, ,1315.4502,0.0008,23/2+,1.09, ,5,s,1.09,0.05,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
54.608, ,16.123702737187898,0.5146667265774372,X,KA2,72,105,Hf, ,2740.02,0.15,37/2-,51.4, ,5,m,3084.0,30.0,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
55.786, ,74.73484642426503,0.720481737898884,X,KA1,72,105,Hf, ,1315.4502,0.0008,23/2+,1.09, ,5,s,1.09,0.05,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
55.786, ,28.217890684613053,0.8922104712235684,X,KA1,72,105,Hf, ,2740.02,0.15,37/2-,51.4, ,5,m,3084.0,30.0,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
63.333, ,9.30928480678694,0.3276693891628031,X,KpB1,72,105,Hf, ,2740.02,0.15,37/2-,51.4, ,5,m,3084.0,30.0,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
63.333, ,24.655562604980236,0.4493208416959744,X,KpB1,72,105,Hf, ,1315.4502,0.0008,23/2+,1.09, ,5,s,1.09,0.05,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.057, ,11.794863850199052,0.4125395271154119,X,KB,72,105,Hf, ,2740.02,0.15,37/2-,51.4, ,5,m,3084.0,30.0,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.057, ,31.238597820509952,0.5557815424658719,X,KB,72,105,Hf, ,1315.4502,0.0008,23/2+,1.09, ,5,s,1.09,0.05,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.935, ,6.583035215529722,0.1720171494415004,X,KpB2,72,105,Hf, ,1315.4502,0.0008,23/2+,1.09, ,5,s,1.09,0.05,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.935, ,2.485579043412113,0.0990993034769047,X,KpB2,72,105,Hf, ,2740.02,0.15,37/2-,51.4, ,5,m,3084.0,30.0,IT,100, , ,,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
