energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
8.81, ,8.6,0.4,X,L,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,IT,22.7,0.08, ,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2023-06-29
9.114, ,3.0365354846606,0.1228241103116262,X,L,71,106,Lu, ,0.0, ,7/2+,6.6443, ,9,d,574067.52,77.76,B-,100.0, ,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
9.114, ,44.4286326760692,1.7342704408595218,X,L,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
52.965, ,5.3,0.13,X,KA2,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,IT,22.7,0.08, ,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2023-06-29
54.07, ,9.3,0.23,X,KA1,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,IT,22.7,0.08, ,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2023-06-29
54.608, ,1.5716035926459486,0.033005712546222,X,KA2,71,106,Lu, ,0.0, ,7/2+,6.6443, ,9,d,574067.52,77.76,B-,100.0, ,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
54.608, ,33.02610341474703,0.3506612820534004,X,KA2,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
55.786, ,57.79857090435251,0.5591635491104929,X,KA1,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
55.786, ,2.7504438093208763,0.0564954751512968,X,KA1,71,106,Lu, ,0.0, ,7/2+,6.6443, ,9,d,574067.52,77.76,B-,100.0, ,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
61.387, ,3.06,0.09,X,KpB1,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,IT,22.7,0.08, ,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2023-06-29
62.084, ,3.87,0.11,X,KB,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,IT,22.7,0.08, ,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2023-06-29
62.927, ,0.81,0.03,X,KpB2,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,IT,22.7,0.08, ,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2023-06-29
63.333, ,19.068163669203216,0.3478383759484618,X,KpB1,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
63.333, ,0.9073911672637534,0.0233304292732197,X,KpB1,71,106,Lu, ,0.0, ,7/2+,6.6443, ,9,d,574067.52,77.76,B-,100.0, ,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.057, ,1.1496646089231757,0.0292094020785565,X,KB,71,106,Lu, ,0.0, ,7/2+,6.6443, ,9,d,574067.52,77.76,B-,100.0, ,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.057, ,24.159363368880477,0.4302749235567963,X,KB,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.935, ,0.2422734416594221,0.0077063095951733,X,KpB2,71,106,Lu, ,0.0, ,7/2+,6.6443, ,9,d,574067.52,77.76,B-,100.0, ,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
64.935, ,5.091199699677259,0.1330985996819052,X,KpB2,71,106,Lu, ,970.1757,0.0024,23/2-,160.4, ,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2023-06-29
