energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
12.522, ,6.364317753828541,0.3704774329620137,X,L,82,124,Pb, ,2200.16,0.04,7-,125, ,2,us,0.000125,2e-06,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
12.522, ,11.3624598887646,1.7227556754940456,X,L,82,124,Pb, ,4027.3,0.3,12+,202, ,3,ns,2.02e-07,3e-09,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
72.805, ,4.151837382166786,0.2371788248335806,X,KA2,82,124,Pb, ,2200.16,0.04,7-,125, ,2,us,0.000125,2e-06,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
72.805, ,0.783957672260117,0.0656054689281175,X,KA2,82,124,Pb, ,4027.3,0.3,12+,202, ,3,ns,2.02e-07,3e-09,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
74.97, ,6.977877953221488,0.3975402002008394,X,KA1,82,124,Pb, ,2200.16,0.04,7-,125, ,2,us,0.000125,2e-06,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
74.97, ,1.3175759197649026,0.1101222271786853,X,KA1,82,124,Pb, ,4027.3,0.3,12+,202, ,3,ns,2.02e-07,3e-09,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
84.986, ,2.3849390004403443,0.1403590844216133,X,KpB1,82,124,Pb, ,2200.16,0.04,7-,125, ,2,us,0.000125,2e-06,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
84.986, ,0.4503286268625041,0.0382205578748051,X,KpB1,82,124,Pb, ,4027.3,0.3,12+,202, ,3,ns,2.02e-07,3e-09,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
86.022, ,3.1051905785733283,0.1823580560569163,X,KB,82,124,Pb, ,2200.16,0.04,7-,125, ,2,us,0.000125,2e-06,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
86.022, ,0.5863278721749804,0.0497121999983071,X,KB,82,124,Pb, ,4027.3,0.3,12+,202, ,3,ns,2.02e-07,3e-09,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
87.301, ,0.720251578132984,0.0440338335016619,X,KpB2,82,124,Pb, ,2200.16,0.04,7-,125, ,2,us,0.000125,2e-06,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
87.301, ,0.1359992453124762,0.0117601746281722,X,KpB2,82,124,Pb, ,4027.3,0.3,12+,202, ,3,ns,2.02e-07,3e-09,IT,100, , ,,82,124,Pb,31-Jan-2008,F.G. KONDEV,2023-06-20
