energy,intensity
9.184,0.00014781
10.449,0.00028499
10.551,0.00028499
11.349,6.0902999999999996e-05
12.142,0.0025087
12.307,0.00011399
12.611,3.6928e-05
12.614,0.0022074
12.795,0.00012513999999999998
12.888,0.00056395
13.015,7.958e-06
13.026,7.396e-05
14.307,1.5783e-05
14.765,0.00047358
15.053,0.00047358
15.098,2.9829000000000002e-05
15.179,6.4014e-05
15.191,5.639e-07
15.216,3.6256e-05
15.766,1.3086e-05
15.86,4.4591999999999996e-07
72.805,0.0056191
74.97,0.009432
84.986,0.003231
87.301,0.0009793
