energy,intensity
9.184,3.9324e-05
10.449,7.583e-05
10.551,7.583e-05
11.349,1.5071e-05
12.142,0.0006708
12.307,3.1434e-05
12.611,9.855999999999998e-06
12.614,0.0005437
12.795,3.457e-05
12.888,0.00015056
13.015,2.1231e-06
13.026,1.9711999999999997e-05
14.307,3.8963e-06
14.765,0.00011708999999999999
15.053,0.00011708999999999999
15.098,8.243e-06
15.179,1.5836000000000002e-05
15.191,1.409e-07
15.216,1.0072000000000001e-05
15.766,3.6088e-06
15.86,1.2354e-07
72.805,0.0015372
74.97,0.0025768
84.986,0.0008776999999999999
87.301,0.00026633
