z_parent,n_parent,elem_parent,parent_l_seqno,decay,z_daughter,n_daughter,elem_daughter,shell,energy,old_energy,intensity,intensity_unc_abs,from_gamma_energy,conversion_coeff_shell
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.18,0.00115,0.00007218158508197841,211.40,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.45,0.00222,0.00013969327566985457,211.40,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.55,0.00222,0.00013969327566985457,211.40,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.18 - 13.03,0.0282,0.001751774945933835,211.40,
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.35,0.00042,0.000026683834746059074,211.40,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.14,0.0195,0.0012278055700311432,211.40,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.31,0.000121,0.000013422392831876589,211.40,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.18 - 15.86,0.062,0.003910000072879866,211.40,0.1586 23
81,127,Tl,0,B-,82,126,Pb,L3N45,12.611,12.60 - 12.62,0.00029,0.00003335114462752505,211.40,
81,127,Tl,0,B-,82,126,Pb,L2M4,12.614,12.61,0.0153,0.0009743140672621862,211.40,
81,127,Tl,0,B-,82,126,Pb,L1M3,12.795,12.80,0.000133,0.000014755822800332865,211.40,
81,127,Tl,0,B-,82,126,Pb,L3O1,12.888,12.89,0.0044,0.00027644793341778163,211.40,
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.01 - 13.02,6.2e-05,0.0000047731414965452375,211.40,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.03,0.00057,0.00003617731076225705,211.40,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.35 - 15.20,0.0196,0.00122189575141384,211.40,
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.31 - 15.86,0.00034,0.000037373346778365995,211.40,
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.31,0.00011,0.0000071190748473818925,211.40,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.77,0.0033,0.0002077365542506719,211.40,
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.05,0.0033,0.0002077365542506719,211.40,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.10,3.2e-05,0.0000035257460803856188,211.40,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.18,0.00045,0.00002801396707006076,211.40,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.19,3.9e-06,0.000001979785665889901,211.40,
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.22,3.9e-05,0.000004274070846603229,211.40,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.76 - 15.78,1.39e-05,0.0000015416840360338503,211.40,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.86,4.8e-07,0.0000000623749444295417,211.40,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.81,0.047,0.002731873394940655,211.40,0.922 16
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,74.97,0.078,0.0045795689968241935,211.40,0.922 16
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.45 - 85.52,0.0268,0.001614352360037219,211.40,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.45 - 87.59,0.0349,0.002097618554229085,211.40,0.922 16
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.24 - 87.36,0.0081,0.0005055830397571572,211.40,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.18,0.00117,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.45,0.00226,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.55,0.00226,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.18 - 13.03,0.029,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.35,0.00043,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.14,0.0199,,233.36,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.31,0.000124,,233.36,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.18 - 15.86,0.066,,233.36,AP 0.1155
81,127,Tl,0,B-,82,126,Pb,L3N45,12.611,12.60 - 12.62,0.00029,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2M4,12.614,12.61,0.0157,,233.36,
81,127,Tl,0,B-,82,126,Pb,L1M3,12.795,12.80,0.000136,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3O1,12.888,12.89,0.0045,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.01 - 13.02,6.3e-05,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.03,0.00059,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.35 - 15.20,0.0201,,233.36,
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.31 - 15.86,0.00035,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.31,0.000112,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.77,0.0034,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.05,0.0034,,233.36,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.10,3.3e-05,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.18,0.00046,,233.36,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.19,4e-06,,233.36,
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.22,4e-05,,233.36,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.76 - 15.78,1.42e-05,,233.36,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.86,4.9e-07,,233.36,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.81,0.048,,233.36,AP 0.547
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,74.97,0.08,,233.36,AP 0.547
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.45 - 85.52,0.027,,233.36,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.45 - 87.59,0.036,,233.36,AP 0.547
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.24 - 87.36,0.0083,,233.36,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.18,0.00288,0.00018970827993457988,252.61,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.45,0.0056,0.00036711699528405695,252.61,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.55,0.0056,0.00036711699528405695,252.61,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.18 - 13.03,0.071,0.004608843775100647,252.61,0.0029 12
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.35,0.00113,0.00007148586034531102,252.61,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.14,0.049,0.003226732157461429,252.61,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.31,0.00231,0.00013276231193435408,252.61,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.18 - 15.86,0.15,0.00991155565935467,252.61,0.0941 19
