energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
9.3,0.1,0.00011,4e-09,9.3,0.0,(E2),,,326000.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2024-01-26,,
12.9,0.1,1.5e-05,4e-06,12.89,0.0,(E2),,,51100.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
15.2,0.1,0.000629998,2.3e-08,24.5,9.3,(M1),,,238.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2024-01-26,,
24.5,0.2,0.0279999,1e-06,24.5,0.0,M1+E2,0.097,5.0,326.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2024-01-26,,
25.95,,6.1e-07,1.7e-07,160.48,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
28.6,0.5,0.0419999,1.5e-06,37.9,9.3,E1,,,3.23,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2024-01-26,,
33.5,0.1,0.00012,4e-05,134.51,101.0,[E1],,,2.02,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
35.0,0.2,3e-05,1.7e-05,134.51,99.63,[E1],,,1.8,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
37.47,,3e-06,8e-07,172.08,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
37.9,0.5,0.0489998,1.8e-06,37.9,0.0,E1,,,1.54,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,44.8,8,90,137,Th,15-Jan-2016,ICTP-2014 Workshop Group,2024-01-26,,
44.7,0.1,0.00012,4e-05,99.63,54.97,[M1+E2],,,230.0,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
51.06,,3e-07,8e-08,222.75,172.08,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
52.32,,1.5e-06,4e-07,187.18,134.51,,,,,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
53.7,0.2,4.6e-05,2e-05,242.63,189.1,[E1],,,0.573,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
55.0,0.1,0.00049,0.00016,54.97,0.0,M1+E2,0.05,4.0,17.4,,89,138,Ac,,0,,3/2-,21.772,,3,Y,687057392.318817,94670.777923776,A,1.38,0.0036,5042.27,14,87,136,Fr,1-May-2001,E. BROWNE,2024-01-26,,
