energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
31.14,0.03,0.07056,0.0048698271016536,31.13,0.0,M1+E2,0.09,2.0,187.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
43.1,,0.065184,0.001164,117.84,74.66,M1+E2,0.38,,154.4,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
43.53,0.02,5.90016,0.1458127895625071,74.66,31.13,E1,,,1.143,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
50.6,,0.0029568,5.28e-05,173.02,122.4,[E1],,,0.769,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
55.4,,0.0103488,0.0001848,173.02,117.84,M1+E2,0.6,2.0,80.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
68.1,,3.36e-05,6e-07,240.8,173.02,[E2],,,89.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
71.2,,,,71.5,0.0,[E2],,,72.0,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
74.66,0.02,67.2,1.2,74.66,0.0,E1,,,0.276,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
86.71,0.02,0.34608,0.0107009390242165,117.84,31.13,E1,,,0.186,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
98.5,,0.009408,0.000168,173.02,74.66,(E2),,,15.56,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
117.6,0.15,0.56448,0.0812675581028493,117.84,0.0,E1,,,0.0842,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
141.89,0.03,0.114912,0.0083209855185548,173.02,31.13,E1,,,0.224,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
169.0,,0.001344,2.4e-05,240.8,71.5,[E1],,,0.1489,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
195.0,,0.0009408,1.68e-05,317.4,122.4,[E1],,,0.1067,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
220.0,,,,,,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
544.58,,,,662.2,117.84,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
587.77,,,,662.2,74.66,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
631.09,,0.000336,6e-06,662.2,31.13,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
662.24,,0.0011424,2.04e-05,662.2,0.0,,,,,,95,148,Am,,0,,5/2-,7364,,22,Y,232385202876.89548,694252371.441024,A,100,,5439.1,9,93,146,Np,30-Jun-2013,E. BROWNE and  J. K. TULI,2024-02-06,,
