energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
265.6,0.5,51.0,0.051,265.6,0.0,E2,,,0.1607,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
265.832,0.005,,,265.832,0.0,E2,,,0.1602,,83,127,Bi,,0.0,,1-,5.012,,5,d,433036.8,432.0,A,0.000132,1e-05,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
304.6,0.5,28.05,0.02805,304.9,0.0,M1,,,0.376,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
304.896,0.006,,,304.896,0.0,M1,,,0.375,,83,127,Bi,,0.0,,1-,5.012,,5,d,433036.8,432.0,A,0.000132,1e-05,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
329.6,0.5,0.663,0.000663,634.5,304.9,M1,,,0.303,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
344.3,0.5,0.714,0.000714,649.4,304.9,M1,,,0.27,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
368.9,0.5,0.663,0.000663,634.5,265.6,M1,,,0.224,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
384.0,1.0,0.00561,5.61e-06,649.4,265.6,[M1],,,0.201,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
535.5,0.5,0.255,0.000255,801.1,265.6,[M1],,,0.083,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
634.3,0.7,0.0102,1.02e-05,634.5,0.0,[E2],,,0.01624,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
649.6,0.5,3.417,0.003417,649.4,0.0,M1,,,0.0501,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
686.0,1.0,0.00612,6.12e-06,951.6,265.6,[E2],,,0.01369,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
732.34,0.07,,,998.0,265.6,[M1],,,0.0367,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
851.4,0.6,,,1117.3,265.6,[M1],,,0.0249,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
1120.0,2.0,,,1117.3,0.0,[M1 E2],,,0.009,,83,127,Bi,,271.31,0.11,9-,3040000.0,,6,Y,95933054962759.69,1893415558475.52,A,100.0,,5036.5,8,81,125,Tl,31-Jan-2008,F.G. KONDEV,2024-01-26,,
