energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
0.57,,,,106.309,105.738,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
23.001,0.017,0.14,0.02,47.832,24.826,(M1+E2),0.04,LT,176.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
24.824,0.015,0.092,0.024,24.826,0.0,M1+E2,0.27,4,880.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
41.0,0.1,0.0015,0.0004,146.729,105.738,[M1+E2],,,800.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
45.2,0.1,0.0009,0.0002,370.47,325.29,[E1],,,1.155,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
47.84,0.02,0.025,0.003,47.832,0.0,E2,,,737.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
57.92,0.03,0.16,0.02,105.738,47.832,(M1+E2),0.23,LT,48.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
58.48,0.02,0.8,0.06,106.309,47.832,M1(+E2),0.12,LT,42.4,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
60.0,0.02,0.14,0.015,166.303,106.309,M1(+E2),0.25,LT,44.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
63.4,0.1,0.001,0.0003,433.9,370.47,(M1),,,32.1,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
73.05,0.02,0.028,0.003,239.33,166.303,M1(+E2),0.2,LT,22.7,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
80.92,0.05,0.23,0.02,105.738,24.826,E2,,,59.9,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
81.48,0.02,1.0,0.08,106.309,24.826,E2,,,58.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
85.98,0.02,0.0075,0.0008,325.29,239.33,(M1),,,13.21,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
91.0,0.05,0.00032,5e-05,237.71,146.729,[M1+E2],,,23.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
98.88,0.02,0.0028,0.0003,146.729,47.832,[E2],,,23.44,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
111.78,0.05,0.00046,7e-05,258.514,146.729,[M1+E2],,,10.0,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
131.13,0.05,0.027,0.003,370.47,239.33,E1,,,0.0741,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
131.95,0.05,0.0017,0.0002,237.71,105.738,(E2),,,6.24,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
133.04,0.05,0.0068,0.0007,239.33,106.309,(E2),,,6.01,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
149.24,0.02,0.0006,4e-05,295.97,146.729,[E2],,,3.74,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
152.78,0.02,0.0018,0.00014,177.602,24.826,M1,,,11.36,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
152.78,0.02,0.0018,0.00014,258.514,105.738,[M1],,,11.36,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
158.96,0.02,0.0042,0.0003,325.29,166.303,[E2],,,2.87,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
163.69,0.02,0.002,0.00015,211.53,47.832,M1,,,9.35,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
172.88,0.03,0.00025,3e-05,319.643,146.729,[M1],,,8.01,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
177.59,0.03,0.0045,0.0003,177.602,0.0,M1+E2,0.39,,6.69,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
182.3,0.3,6e-05,6e-11,420.0,237.71,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
184.59,0.03,0.00087,7e-05,423.92,239.33,[E2],,,1.563,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
186.66,0.05,0.00011,1.5e-05,211.53,24.826,[M1],,,6.45,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
194.6,0.4,3.4e-05,5e-06,433.9,239.33,[E1],,,0.1179,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
197.4,0.4,7e-06,2e-06,590.01,392.33,[E2],,,1.201,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
204.17,0.02,0.024,0.0018,370.47,166.303,E1,,,0.1059,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
209.7,0.2,5e-05,5e-11,535.0,325.29,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
210.7,0.04,0.00028,4e-05,258.514,47.832,[M1],,,4.59,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
211.55,0.05,0.00013,2e-05,211.53,0.0,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
213.9,0.05,0.000118,1.2e-05,319.643,105.738,[M1],,,4.4,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
233.69,0.02,0.00035,2.5e-05,258.514,24.826,[E2],,,0.639,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
245.7,0.4,7e-06,2e-06,392.33,146.729,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
256.67,0.05,8.6e-05,8e-06,648.94,392.33,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
264.15,0.03,0.00104,8e-05,370.47,106.309,[M2],,,7.97,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
267.61,0.04,0.000152,1.5e-05,433.9,166.303,[E1],,,0.0584,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
270.37,0.03,0.00035,3e-05,590.01,319.64,[M1],,,2.282,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
271.88,0.05,3e-05,3e-11,319.643,47.832,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
285.49,0.03,0.00037,4e-05,543.99,258.514,[M1],,,1.961,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
286.65,0.05,5.4e-05,5e-06,392.33,105.738,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
301.0,0.3,5e-07,,1009.13,708.05,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
327.58,0.04,0.00021,2e-05,433.9,106.309,[E1],,,0.038,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
329.27,0.04,0.00044,4e-05,648.94,319.64,[M1],,,1.32,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
331.52,0.04,0.0018,0.0002,590.01,258.514,[M1],,,1.296,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
332.43,0.04,0.0025,0.0002,543.99,211.53,(M1),,,1.286,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
349.6,0.3,1e-06,,981.51,632.02,(M1),,,1.119,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
350.6,0.2,8e-06,1e-06,590.01,239.33,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
366.4,0.1,0.0057,0.0004,543.99,177.602,(M1),,,0.984,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
378.5,0.1,0.0026,0.00019,590.01,211.53,(M1),,,0.9,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
381.0,0.3,2e-06,,981.51,601.04,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
390.4,0.1,0.00045,3e-05,648.94,258.514,[M1],,,0.826,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
395.3,0.2,7e-06,1e-06,720.5,325.29,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
397.5,0.2,2.5e-06,5e-07,543.99,146.729,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
400.9,0.2,2.9e-05,4e-06,720.5,319.64,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
404.0,0.3,2e-06,3e-07,,,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
408.2,0.2,2e-06,,1009.13,601.04,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
409.6,0.1,0.000125,1.2e-05,648.94,239.33,[M1],,,0.724,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
412.2,0.2,3.3e-05,3e-06,590.01,177.602,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
416.9,0.3,3.2e-06,5e-07,,,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
423.7,0.1,0.00071,5e-05,590.01,166.303,[M1],,,0.66,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
437.7,0.1,0.00165,0.00012,543.99,106.309,[M1],,,0.604,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
443.2,0.1,6.4e-05,5e-06,590.01,146.729,[M1],,,0.584,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
454.4,0.3,5e-07,,632.02,177.602,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
463.2,0.3,7.8e-06,9e-07,,,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
478.3,0.2,8e-07,1e-07,625.12,146.729,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
482.5,0.3,5.7e-05,6e-06,648.94,166.303,,,,,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
483.7,0.2,0.00036,2.4e-05,590.01,106.309,[M1],,,0.46,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
496.2,0.2,0.0002,1.5e-05,543.99,47.832,[M1],,,0.429,,100,155,Fm,,0,,7/2+,20.07,,7,h,72252,252,A,100,,7240.6,5,98,153,Cf,23-Sep-2022,C. Morse,2024-02-06,,
