energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
14.05,0.01,0.1472,0.0023,1315.4502,1301.4004,[M1+E2],,,217.0,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
55.15,0.02,1.955,0.022,1315.4502,1260.2817,[E1],,,0.333,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
69.2,0.1,0.0099,0.0011,1086.9662,1017.7911,[E1],,,0.919,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
71.6418,0.0006,0.164,0.005,321.3162,249.6744,E1+M2,-0.018,9.0,0.89,,71,106,Lu,,0.0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100.0,,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
71.6418,0.0006,0.876,0.026,321.3162,249.6744,E1+M2,-0.018,9.0,0.89,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
88.4,0.1,0.043,0.005,882.8611,794.4394,[E1],,,0.494,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
105.3589,0.0004,12.68,0.04,426.6752,321.3162,M1+E2,-0.33,13.0,3.39,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
112.9498,0.0004,21.4,0.4,112.9499,0.0,M1+E2,-4.77,19.0,2.23,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
112.9498,0.0004,6.23,0.04,112.9498,0.0,M1+E2,-4.77,19.0,2.23,,71,106,Lu,,0.0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100.0,,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
115.8682,0.0023,0.658,0.012,970.1757,854.3067,E3,,,33.5,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
117.1442,0.0012,0.194,0.011,708.4622,591.3179,[E1],,,0.237,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
121.6211,0.0005,6.29,0.07,121.6211,0.0,M1+E2,0.51,5.0,2.0,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
125.3,0.2,0.00022,5e-05,970.1757,844.9119,[M3],,,94.3,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
128.5027,0.0004,16.04,0.15,555.1779,426.6752,M1+E2,-0.336,10.0,1.9,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
136.7245,0.0005,0.0465,0.0004,249.6744,112.9498,M1+E2,-3.31,15.0,1.13,,71,106,Lu,,0.0,,7/2+,6.6443,,9,d,574067.52,77.76,B-,100.0,,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
136.7245,0.0005,1.452,0.012,249.6744,112.9499,M1+E2,-3.31,15.0,1.13,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
138.616,0.001,,,289.0148,150.3991,M1+E2,0.23,8.0,1.43,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
145.7693,0.0007,0.965,0.016,555.1779,409.4085,[E1],,,0.1339,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
147.1637,0.0005,3.59,0.05,268.7849,121.6211,M1+E2,0.59,7.0,1.114,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
150.399,0.001,,,150.3991,0.0,E1,,,0.512,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
153.2842,0.0004,16.54,0.17,708.4622,555.1779,M1+E2,-0.352,17.0,1.135,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
159.7341,0.0007,0.534,0.009,409.4085,249.6744,M1+E2,-2.4,10.0,0.69,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
162.5,0.001,,,451.5146,289.0148,M1+E2,0.33,13.0,0.89,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
171.8574,0.0006,4.8,0.06,440.6424,268.7849,M1+E2,0.47,21.0,0.73,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,IT,22.7,0.08,,,71,106,Lu,30-Aug-2019,F.G. KONDEV,2024-01-26,,
174.3988,0.0004,12.47,0.11,882.8611,708.4622,M1+E2,-0.313,16.0,0.793,,71,106,Lu,,970.1757,0.0024,23/2-,160.4,,3,d,13858560.0,25920.0,B-,77.3,0.08,496.8,8.0,72,105,Hf,30-Aug-2019,F.G. KONDEV,2024-01-26,,
