energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
0.0765,0.0004,1e-08,1e-09,0.0765,0.0,E3,,,10000000000.0,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
12.975,0.01,0.0341,0.0009,13.0401,0.0765,M1+E2,0.02,,497.0,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
14.22,0.03,0.0055,0.0004,,,,,,,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
30.04,0.02,0.000217,6e-06,81.741,51.7008,(M1),,,156.7,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
38.661,0.002,0.01044,0.00013,51.7008,13.0401,M1+E2,0.48,3,298.0,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
40.41,0.05,0.000162,1.6e-05,,,,,,,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
41.93,0.05,0.000146,1.5e-05,171.388,129.2961,M1+E2,0.14,10,70.0,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
46.21,0.05,7.21e-05,1.1e-06,46.207,0.0,M1(+E2),0.14,14,50.0,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
46.68,0.03,4.65e-05,2.5e-06,197.119,150.467,(M1),,,42.7,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
47.6,0.03,6.25e-05,2.5e-06,129.2961,81.741,(M1),,,40.4,,94,145,Pu,,0,,1/2+,24110,,30,Y,760837485247.4131,946707779.23776,A,100,,5244.52,21,92,143,U,1-Feb-2014,E. BROWNE and  J. K. TULI,2024-02-06,,
