energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date,type,shell
18.15,0.05,0.021,0.007,43.818,25.65136,E1,,,5.93,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
25.65135,3e-05,23.154,1.52598328955464,25.65136,0.0,E1,,,2.29,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
28.701,0.012,0.036516,0.0028704766154769,131.7585,103.067,M1+E2,0.036,9.0,15.5,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
43.81,0.03,0.06018,0.0067938869581411,43.818,0.0,M1+E2,0.216,8.0,7.7,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
48.91533,5e-05,17.034,0.9293486966688016,74.5667,25.65136,M1+E2,-0.056,1.0,3.19,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
56.64,0.03,,,100.46,43.818,M1+E2,0.22,3.0,12.91,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
57.1917,0.0003,1.785,0.1012780825252927,131.7585,74.5667,M1+E2,-0.187,16.0,12.39,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
59.243,0.012,0.022236,0.0024033859448702,103.067,43.818,E1,,,1.22,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
74.56669,6e-05,10.2,0.5400148146115993,74.5667,0.0,E1,,,0.672,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
77.422,0.005,0.05967,0.0035661218431231,103.067,25.65136,M1+E2,-1.05,8.0,6.15,,65,96,Tb,,0,,3/2+,6.89,,2,d,595296,1728,B-,100,,593.7,12,66,95,Dy,1-Jun-2011,C. W. Reich,2024-01-26,,
